,creationDate,avgLow,avgHigh,medianLow,medianHigh,countLow,countHigh,averageFactor,medianFactor
182,2017/39,17839921.75,573768.0,15460057,573768,4,1,0.03216202447748965,0.03711292914379294
83,2020/18,18029482.684210528,8407871.421052631,30502367,1892942,38,19,0.46634013678140057,0.06205885595698196
163,2018/32,8429479.42857143,160124.0,2447396,160124,35,1,0.018995716325881908,0.06542627347597202
58,2020/43,13039168.2,5899068.2,14264117,2189761,5,5,0.4524113892479737,0.1535153560504306
183,2017/20,4285651.75,731610.0,4741340,731610,8,1,0.17071149096517232,0.1543044793244104
64,2020/37,4459381.285714285,2883547.8947368423,5095920,820395,14,19,0.646625105589052,0.16099055715160362
36,2021/15,4895295.904761905,1973631.7222222222,2848651,514423,21,18,0.4031690342359835,0.18058477503913256
2,2021/49,1586905.142857143,522583.28,2094566,378826,7,25,0.32930971479436705,0.18086133356504402
106,2019/47,13458983.76923077,4150367.4,6577102,1470545,13,10,0.3083715287248027,0.22358555485379428
185,2016/41,22223201.230769232,5491610.0,22897075,5491610,39,1,0.24711156340503126,0.23983893139189175
56,2020/45,14045084.2,8824334.285714285,12499875,3343514,5,7,0.6282863213959433,0.2674837948379484
67,2020/34,6097444.75,3617231.8333333335,5442856,1477770,20,24,0.5932373283633826,0.2715063562218071
29,2021/22,3949863.2083333335,3465611.217391304,3927072,1086968,24,23,0.8774003135297533,0.27678840622224393
72,2020/29,6208133.0,2216423.5833333335,4338480,1243620,11,12,0.3570193459665464,0.28664878021795653
70,2020/31,12755864.0,4775822.318181818,14686342,4242732,18,22,0.37440210386233486,0.28888963637099013
23,2021/28,2794160.1,1436689.441860465,1892371,598478,20,43,0.5141757774940903,0.31625828127782557
53,2020/48,1913749.5,3919561.888888889,2775271,888630,4,9,2.0481060289702957,0.32019575745936163
116,2019/37,17495663.333333332,7048036.909090909,6701563,2157873,21,11,0.402844795010587,0.321995480755758
123,2019/30,21320547.55172414,17515454.333333332,19361600,6401494,29,21,0.8215292919114969,0.33062835716056527
187,2016/14,29304225.271604937,2226626.0,6628658,2226626,81,1,0.07598310412108199,0.3359090180848069
94,2020/7,6661681.333333333,3495284.722222222,3193361,1099015,18,18,0.5246850678270544,0.3441562040746411
43,2021/8,5870333.25,1227414.25,3043702,1135610,24,8,0.20908766124989583,0.3731015717044573
80,2020/21,15128200.68115942,11194519.9,20394466,8048750,69,20,0.7399769566741401,0.3946536280969553
69,2020/32,9199082.578947369,2119451.3333333335,2870203,1149420,19,12,0.23039812015426625,0.4004664478435846
17,2021/34,2480483.722222222,936194.8958333334,1611484,654871,18,48,0.3774243255241412,0.4063775997775963
114,2019/39,19605846.03846154,10554222.476190476,24018568,10530895,78,42,0.5383201752929128,0.43844807900287813
19,2021/32,2566072.5,1213853.5882352942,2428914,1107687,22,17,0.47303947500910215,0.45604208300499727
3,2021/48,1309138.75,982998.3333333334,1625759,744478,4,12,0.7508740638326789,0.4579264208286714
112,2019/41,7829055.142857143,8464631.107142856,5461920,2527219,14,28,1.081181694685799,0.46269791575123764
142,2019/11,15924940.666666666,2162241.0,4640469,2162241,6,1,0.13577702079141185,0.46595311810077816
38,2021/13,3607243.653846154,2244206.8333333335,2499756,1185232,26,18,0.6221389650073932,0.47413907597381505
39,2021/12,3568930.434782609,3195303.777777778,2366692,1140546,23,9,0.8953113085748365,0.4819156865363131
104,2019/49,17429639.222222224,5101515.277777778,4035618,1969582,9,18,0.2926919606731453,0.488049661786621
178,2018/6,18237007.102564104,1209061.0,2394281,1209061,39,1,0.06629711735046741,0.5049787389199514
78,2020/23,9589859.375,8952831.133333333,5963329,3018631,16,15,0.9335727233574093,0.506198970407301
71,2020/30,7820137.933333334,2161711.6,1049215,539085,15,15,0.2764288326406246,0.5137984111931301
63,2020/38,3727406.125,3638708.875,2610900,1392051,24,16,0.9762040284783832,0.533169022176261
89,2020/12,8088855.294117647,8644107.84,4340915,2352969,17,25,1.068644143787087,0.5420444767980944
91,2020/10,6669992.590909091,4706002.37037037,4236439,2307374,22,27,0.7055483654936059,0.5446494095630788
170,2018/20,4636337.432432433,687373.0,1251955,687373,37,1,0.1482577594960281,0.5490397019062186
49,2021/2,7112236.05882353,4022480.4137931033,3468753,1910165,17,29,0.5655718371162278,0.5506777219363846
15,2021/36,1658810.4545454546,1498800.05,1106662,623011,11,20,0.903539066740871,0.56296412093304
102,2019/51,714861.5,627072.2,1245134,701501,2,5,0.8771939739376088,0.5633939800856775
